From icon-group-sender Mon May 25 05:41:47 1992
Received: by cheltenham.cs.arizona.edu; Mon, 25 May 92 05:41:38 MST
Date: Mon, 25 May 1992 07:41 CST
From: Chris Tenaglia - 257-8765 <TENAGLIA@mis.mcw.edu>
Subject: Holiday Offering
To: icon-group@cs.arizona.edu
Message-Id: <01GKF5PLTI6I984PUJ@mis.mcw.edu>
X-Organization: Medical College of Wisconsin (Milwaukee, WI)
X-Vms-To: IN%"icon-group@cs.arizona.edu"
Status: R
Errors-To: icon-group-errors@cs.arizona.edu

Here is a sample vocabulary file. I choose computer and science related stuff
which seems to fit together well. I've tried farming and agriculture, but it
got pretty gross. Great stuff for talk.bizaare! Happy holidays!

Chris Tenaglia (System Manager) |  "The past explained,     
Medical College of Wisconsin    |   the future fortold, 
8701 W. Watertown Plank Rd.     |   the present largely appologized for."
Milwaukee, WI 53226             |   Organon to The Doctor
(414)257-8765                   |     
tenaglia@mis.mcw.edu

!
! This is the vocabulary of the AI verse generator. Its filename is passed
! as a parameter. This should run under VMS, Unix, and MS-DOS. Lines until
! the %noun line are ignored and will generate 'Such Language!' messages
! when the program is run.
!
%noun
ABEND|ABENDS
ABUSE|ABUSES
ACCEPTANCE|ACCEPTANCES
ACCOUNT|ACCOUNTS
ACTION|ACTIONS
ADDRESS|ADDRESSES
ALGORITHM|ALGORITHMS
AMAZEMENT|AMAZEMENTS
ANOMALY|ANOMALIES
ANSWER|ANSWERS
APPLICATION|APPLICATIONS
ARGUMENT|ARGUMENTS
ARITHMETIC|ARITHMETICS
ASSEMBLER|ASSEMBLERS
ASSEMBLY|ASSEMBLIES
BASE|BASES
BASIC|BASICS
BATCH|BATCHES
BAUD RATE|BAUD RATES
BENCHMARK|BENCHMARKS
BIT|BITS
BIT BUCKET|BIT BUCKETS
BLANK|BLANKS
BLOCK|BLOCKS
BOOK|BOOKS
BREAKPOINT|BREAKPOINTS
BUFFER|BUFFERS
BUG|BUGS
BYTE|BYTES
CALENDER|CALENDERS
CAPACITY|CAPACITIES
CATALOG|CATALOGS
CAUSE|CAUSES
CHAMBER|CHAMBERS
CHANGE|CHANGES
CHARACTER|CHARACTERS
CHECK|CHECKS
CLASS|CLASSES
CHIP|CHIPS
CIRCUIT|CIRCUITS
CIRCUIT CARD|CIRCUIT CARDS
CIRCUIT CHIP|CIRCUIT CHIPS
CLUSTER|CLUSTERS
CODE|CODES
COMMAND|COMMANDS
COMPILER|COMPILERS
COMPONENT|COMPONENTS
COMPUTER|COMPUTERS
CONCEPT|CONCEPTS
CONDITION|CONDITIONS
CONFUSION|CONFUSIONS
CONNECTION|CONNECTIONS
CONTROL|CONTROLS
CONVERSION|CONVERSIONS
COPROCESSOR|COPROCESSORS
COPY|COPIES
CRASH|CRASHES
CUBE|CUBES
CURSOR|CURSORS
CYCLE TIME|CYCLE TIMES
DATA|DATA
DATA|SET DATA SETS
DATABASE|DATABASES
DEFECT|DEFECTS
DEFINITION|DEFINITIONS
DELETION|DELETIONS
DERIVATIVE|DERIVATIVES
DESCRIPTION|DESCRIPTIONS
DESIGN|DESIGNS
DEVELOPEMENT|DEVELOPEMENTS
DEVICE|DEVICES
DIAGRAM|DIAGRAMS
DIGIT|DIGITS
DIRECTORY|DIRECTORIES
DISK|DISKS
DISPLAY|DISPLAYS
DIVISION|DIVISIONS
DOCUMENT|DOCUMENTS
DOCUMENTATION|DOCUMENTATIONS
DOMAIN|DOMAINS
DRAWING|DRAWINGS
DRIVER|DRIVERS
EFFECT|EFFECTS
ELEMENT|ELEMENTS
EMPTY SET|EMPTY SETS
ENGINE|ENGINES
ENGINEER|ENGINEERS
ENTROPY|ENTROPIES
ENTRY|ENTRIES
ENTRYPOINT|ENTRYPOINTS
ENVIRONMENT|ENVIRONMENTS
EQUATION|EQUATIONS
ERROR|ERRORS
ESCAPE|ESCAPES
EUPHEMISM|EUPHEMISMS
EXAMPLE|EXAMPLES
EXPONENT|EXPONENTS
FACT|FACTS
FAILURE|FAILURES
FANTASY|FANTASIES
FAX|FAXES
FEATURE|FEATURES
FIELD|FIELDS
FILE|FILES
FIRMWARE|FIRMWARES
FLAG|FLAGS
FLOPPY|FLOPPIES
FORM|FORMS
FORMAT|FORMATS
FROTH|FROTHS
FUNCTION|FUNCTIONS
GAME|GAMES
GENERATOR|GENERATORS
GLITSCH|GLITSCHES
GRAPH|GRAPHS
HACKER|HACKERS
HARDWARE|HARDWARES
HASH|HASHES
HEXIDECIMAL|HEXIDECIMALS
HOLLERITH CARD|HOLLERITH CARDS
HYPERCUBE|HYPERCUBES
IDIOT|IDIOTS
IMAGE|IMAGES
IMPLEMENTATION|IMPLEMENTATIONS
INDEX|INDICES
INDIVIDUAL|INDIVIDUALS
